Node	Cluster	Color	Origin
DNAJB4	1	#D10505	Disease Gene
DNAJC10	1	#D10505	RWR Added
DNAJC11	1	#D10505	RWR Added
DNAJC5	1	#D10505	RWR Added
DNM1	1	#D10505	RWR Added
DNMT1	1	#D10505	Disease Gene
DOLK	1	#D10505	Disease Gene
DPAGT1	1	#D10505	Disease Gene
DPM1	1	#D10505	Disease Gene
DPM2	1	#D10505	Disease Gene
DRAXIN	1	#D10505	RWR Added
DRP2	1	#D10505	Disease Gene
DSC2	1	#D10505	Disease Gene
DSG2	1	#D10505	Disease Gene
DSP	1	#D10505	Disease Gene
DST	1	#D10505	Disease Gene
DUS1L	1	#D10505	RWR Added
DUSP13	1	#D10505	RWR Added
DUSP26	1	#D10505	RWR Added
DUSP27	1	#D10505	RWR Added
DUX4	1	#D10505	Disease Gene
ECE1	1	#D10505	RWR Added
EEF2	1	#D10505	Disease Gene
EGLN3	1	#D10505	RWR Added
EGR2	1	#D10505	Disease Gene
EIF2B2	1	#D10505	RWR Added
EIF4G1	1	#D10505	RWR Added
ELAVL1	1	#D10505	RWR Added
ELOVL1	1	#D10505	RWR Added
ELOVL4	1	#D10505	Disease Gene
EMD	1	#D10505	Disease Gene
EMILIN1	1	#D10505	Disease Gene
ENDOD1	1	#D10505	RWR Added
ENDOG	1	#D10505	Disease Gene
ENGASE	1	#D10505	RWR Added
ENO1	1	#D10505	RWR Added
ENTPD1	1	#D10505	Disease Gene
EP300	1	#D10505	RWR Added
EPB41L2	1	#D10505	RWR Added
ERBB2	1	#D10505	RWR Added
ERBB3	1	#D10505	Disease Gene
ERBB4	1	#D10505	Disease Gene
ERBIN	1	#D10505	RWR Added
ERLIN1	1	#D10505	Disease Gene
ETFA	1	#D10505	Disease Gene
ETFB	1	#D10505	Disease Gene
ETFDH	1	#D10505	Disease Gene
EXOSC3	1	#D10505	Disease Gene
EXOSC8	1	#D10505	Disease Gene
EXOSC9	1	#D10505	Disease Gene
EYA4	1	#D10505	Disease Gene
EZR	1	#D10505	RWR Added
FABP3	1	#D10505	RWR Added
FADS3	1	#D10505	RWR Added
FAM111B	1	#D10505	Disease Gene
FAM126A	1	#D10505	RWR Added
FARS2	1	#D10505	Disease Gene
FASTKD2	1	#D10505	Disease Gene
FAT2	1	#D10505	Disease Gene
FBLN5	1	#D10505	Disease Gene
FBP2	1	#D10505	RWR Added
FBXL4	1	#D10505	Disease Gene
FBXO32	1	#D10505	RWR Added
FBXO40	1	#D10505	RWR Added
FDX2	1	#D10505	Disease Gene
FGD4	1	#D10505	Disease Gene
FGF14	1	#D10505	Disease Gene
FGF5	1	#D10505	RWR Added
FGFR2	1	#D10505	RWR Added
FHOD3	1	#D10505	Disease Gene
FILIP1	1	#D10505	Disease Gene
FLAD1	1	#D10505	Disease Gene
FLNA	1	#D10505	Disease Gene
FLNB	1	#D10505	RWR Added
FLVCR1	1	#D10505	Disease Gene
FN1	1	#D10505	RWR Added
FNDC3A	1	#D10505	RWR Added
FOXC2	1	#D10505	RWR Added
FRG1	1	#D10505	RWR Added
FRMPD4	1	#D10505	RWR Added
FUS	1	#D10505	Disease Gene
FXR1	1	#D10505	Disease Gene
GABARAPL1	1	#D10505	RWR Added
GABPA	1	#D10505	RWR Added
GABRA3	1	#D10505	RWR Added
GAN	1	#D10505	RWR Added
GARS	1	#D10505	RWR Added
GATA6	1	#D10505	RWR Added
GATAD1	1	#D10505	Disease Gene
GBE1	1	#D10505	Disease Gene
GDAP1	1	#D10505	Disease Gene
GDAP2	1	#D10505	Disease Gene
GET3	1	#D10505	Disease Gene
GFER	1	#D10505	Disease Gene
GFPT1	1	#D10505	Disease Gene
GGPS1	1	#D10505	Disease Gene
GIPC1	1	#D10505	Disease Gene
GJA1	1	#D10505	RWR Added
GJA5	1	#D10505	Disease Gene
GJB2	1	#D10505	RWR Added
GJB3	1	#D10505	Disease Gene
GLB1	1	#D10505	RWR Added
GLDN	1	#D10505	Disease Gene
GLE1	1	#D10505	Disease Gene
GMPR	1	#D10505	RWR Added
GNB4	1	#D10505	Disease Gene
GNE	1	#D10505	Disease Gene
GNS	1	#D10505	RWR Added
GOLGA2	1	#D10505	Disease Gene
GOSR2	1	#D10505	Disease Gene
GOT1	1	#D10505	RWR Added
GOT2	1	#D10505	RWR Added
GPD1L	1	#D10505	Disease Gene
GPI	1	#D10505	RWR Added
GPR135	1	#D10505	RWR Added
GPR137B	1	#D10505	RWR Added
GPR37L1	1	#D10505	RWR Added
GRID2	1	#D10505	Disease Gene
GRM1	1	#D10505	Disease Gene
GTF2A1	1	#D10505	RWR Added
GTPBP1	1	#D10505	RWR Added
GULP1	1	#D10505	RWR Added
GYG1	1	#D10505	Disease Gene
GYS1	1	#D10505	Disease Gene
H2AZ1	1	#D10505	RWR Added
HADH	1	#D10505	RWR Added
HARS	1	#D10505	Disease Gene
HAUS7	1	#D10505	RWR Added
HCN4	1	#D10505	Disease Gene
HDAC11	1	#D10505	RWR Added
HERC2	1	#D10505	RWR Added
HEXA	1	#D10505	RWR Added
HEXB	1	#D10505	Disease Gene
HEY1	1	#D10505	RWR Added
HGSNAT	1	#D10505	RWR Added
